"","Participant_ID","session_id","age","major","gender","Openness","Conscientiousness","Extraversion","Agreeableness","Neuroticism","Intrinsic","Mood","NFC","SelfEsteem"
"1594","94",7609447,18,"Materials Science and Engineering","2",3,5.5,1,4,4.5,2.466666667,4,2.833333333,4
"1595","96",7612974,20,"Chemical Engineering","2",4,4.5,4,5,1.5,2.866666667,4,3.333333333,7
"1596","97",7613132,19,"undeclared life science","2",5.5,5.5,4,4,1.5,2.8,5.5,3,6
"1597","98",7613291,20,"Political Science and Psychology","2",6.5,7,7,5,2.5,3.4,3.5,2.5,3
"1598","99",7613398,21,"Biology","1",5.5,4.5,6,4.5,5,3.066666667,5.5,3.166666667,6
"1599","997562295",7470332,21,"natural science","1",5.5,4.5,4,4,3,2.8,6,3.5,5
"1600","998047502",7467991,20,"Neurobiology, Physiology, and Behavior","1",6,5,4,7,4.5,3.2,5.5,3.333333333,6
"1601","998284488",7467833,20,"Biological Sciences","1",6,5.5,3.5,4.5,4.5,3,6,3.166666667,5
"1602","998809465",7472908,20,"Exercise bio","1",6,4.5,4,6,2,3.8,6,3.666666667,7
"1603","998815611",7470231,19,"Linguistics and Human Development","1",5,5.5,2,5,3.5,2.733333333,5,3.166666667,3
"1604","999041730",7470408,19,"Biotechnology","1",6.5,6.5,4.5,7,6.5,2.533333333,4,1.666666667,5
"1605","999688562",7470483,18,"Psychology","1",4.5,3.5,3,5.5,2,2.6,4,3.666666667,6
"1606",NA,7612846,20,"Psychology","1",4.5,3.5,4,7,2.5,2.266666667,6,2.666666667,5
"1607",NA,7475080,19,"biology","1",5,4,4,4,2.5,2.466666667,5,2.5,3
"1608",NA,7483723,20,"Biochemistry and Molecular Biology","1",4.5,6,4,5.5,1.5,2.533333333,4,3,5
"1609",NA,7554872,18,"Psychology","1",4,3.5,4,4.5,3.5,2.466666667,5,3,2
"1610",NA,7613786,18,"Pharmaceutical Chemistry","2",4.5,3.5,4,6,1.5,3,7,2.833333333,7
"1611",NA,7472982,21,"Undeclared","1",4.5,4,5,4,4.5,2.933333333,3,2.666666667,5
"1612","10",7481150,23,"Psychology","1",3.5,6.5,1.5,4,4,2.466666667,3,3.5,2
"1613","100",7527353,18,"political science","2",6.5,4,5.5,6,1.5,3,6,3.166666667,7
"1614","101",7527315,21,"Econ/Admin","2",6,6,2.5,5,4.5,2.733333333,6,3.166666667,3
"1615","102",7527652,19,"Undeclared - CHASS","1",5.5,4.5,3,4.5,2.5,2.4,5.5,2.666666667,3
"1616","103",7527639,18,"Psychology","1",2.5,3,3,5,5,2.533333333,4.5,2.333333333,3
"1617","104",7530284,20,"psychology","1",5.5,5.5,5,4.5,2.5,3,5,3.333333333,6
"1618","105",7530570,22,"Biology","1",4.5,7,4,5.5,1.5,2.733333333,4,2.833333333,5
"1619","106",7530749,20,"Law and Society/Sociology","1",6.5,4.5,6,7,4,3.133333333,4,3,6
"1620","107",7530899,18,"Psychology","1",6,6,4,7,1.5,3.2,7,3.833333333,5
"1621","109",7532124,19,"sociology","1",6.5,6,6,4,2,2.933333333,6,3.666666667,6
"1622","11",7481298,21,"Neuroscience","1",5,6.5,4,6,3.5,3.133333333,5.5,3.5,5
"1623","112",7532401,18,"Undecided in CHASS","1",6.5,7,5,6.5,2,2.933333333,6.5,3.5,6
"1624","113",7535999,21,"psychology","1",5.5,6,4,5,4,3.2,4,4.333333333,6
"1625","114",7536210,19,"business","1",3.5,6,3,7,6,1.533333333,4,1.166666667,1
"1626","115",7536370,19,"Biology","2",5.5,5,4,4,3.5,3.733333333,6.5,4.166666667,5
"1627","116",7536730,21,"Biology","1",6,7,6.5,7,2,3.266666667,5.5,2.666666667,6
"1628","117",7536884,19,"mechanical engineering","1",6,6,3.5,5,2,2.733333333,4,2.666666667,3
"1629","118",7538740,19,"Public Policy","1",4,5.5,3,7,2.5,2.666666667,5.5,3.5,3
"1630","119",7538910,18,"Sociology","2",5.5,5.5,4,4.5,3.5,2.666666667,6,2.833333333,5
"1631","12",7481317,18,"Anthropology","1",6,3,1,7,5,2.933333333,5,2.5,6
"1632","120",7539297,19,"History/Law and Society","1",6,6.5,3.5,4.5,4,3,3,3.5,6
"1633","121",7539298,18,"Psychology","1",5.5,5.5,2.5,4,1.5,3.4,5.5,4,5
"1634","122",7539467,19,"Undeclared","1",3,6,4,3.5,3.5,2.733333333,6,2.666666667,6
"1635","123",7539469,20,"biology","1",5,6,5.5,4.5,4,2.666666667,3.5,2.833333333,5
"1636","124",7541048,19,"political science","1",6,5.5,3,4.5,2.5,3,4,3.333333333,4
"1637","125",7541135,18,"Psychology","2",5.5,6,6,5,3.5,2.933333333,5.5,3.333333333,3
"1638","126",7541124,18,"psychology","1",5,3.5,3.5,5.5,4.5,3.066666667,3,3.666666667,5
"1639","127",7541319,18,"Psychology","1",6,6,4.5,6,1.5,3.466666667,6,3.833333333,6
"1640","129",7543510,19,"Undeclared","1",5,5,4.5,4.5,4.5,2.266666667,5,2.666666667,2
"1641","13",7481577,18,"psychology","1",6.5,4.5,1,4,6,3.2,4.5,3.166666667,5
"1642","130",7543672,20,"Biology","2",6.5,6.5,6.5,6.5,1,3.6,6,3.5,6
"1643","132",7543930,18,"Psychology","1",5,4.5,6.5,6,2,2.6,3.5,2.666666667,3
"1644","133",7543939,17,"Biology","1",7,7,4.5,5.5,3.5,3.533333333,4,3.833333333,6
"1645","134",7545276,21,"Psychology","1",5,6.5,4.5,5,5,3.333333333,4,3.166666667,5
"1646","135",7545279,17,"Sociology","1",5.5,4.5,5.5,4,4.5,2.733333333,6,2.833333333,5
"1647","136",7545471,20,"Biology","1",6,6.5,4,6.5,1.5,3.333333333,5.5,3.333333333,6
"1648","137",7545615,20,"Biology","1",3.5,5,2,5,5.5,2.866666667,5,3.333333333,2
"1649","138",7545616,21,"Neuroscience","1",5.5,5.5,2.5,6,3,3,6,3.666666667,5
"1650","139",7545825,20,"pre-businees","2",5.5,6,4,6,1,2.733333333,6,2.666666667,6
"1651","140",7545925,18,"undeclared","1",5.5,7,4,5.5,3,2.6,5,2.666666667,3
